Short Description,Common Abbr.,Python Var,KEGG ID,Glossary ID,Reference
Reduction of PQ due to PSII,$v_{\mathrm{PSII}}$,v_PSII,R09503,1,"Matuszynska2016, Saadat2021, Li2021"
Oxidation of the PQ pool through cytochrome and PTOX,$v_{\mathrm{PQ}_{\mathrm{ox}}}$,v_PQ,,2,"Matuszynska2016, Saadat2021"
Production of ATP by ATPsynthase,$v_{\mathrm{ATPsynthase}}$,v_ATPsynth,R00086,3,"Matuszynska2016, Saadat2021, Li2021"
Activation of ATPsynthase by light,$v_{\mathrm{ATPactivity}}$,v_ATPact,,4,Matuszynska2016
Transmembrane Proton Leak,$v_{\mathrm{Leak}}$,v_Leak,,5,"Matuszynska2016, Saadat2021"
ATP consuming reaction,$v_{\mathrm{ATP}_{\mathrm{consumption}}}$,v_ATPcons,,6,"Matuszynska2016, Saadat2021"
Xanthophyll cycle,$v_{\mathrm{Xcyc}}$,v_Xcyc,R10070,7,Matuszynska2016
Protonation of psbS protein,$v_{\mathrm{Psbs^P}}$,v_PsbSP,,8,"Matuszynska2016, Saadat2021"
Rate of the b6f complex,$v_{\mathrm{b6f}}$,v_b6f,R03817,9,"Saadat2021, Li2021"
Reaction mediated by FNR,$v_{\mathrm{FNR}}$,v_FNR,R01195,10,"Saadat2021, Li2021"
Ferredoxin-plastoquinone reductase,$v_{\mathrm{FQR}}$,v_FQR,,11,Saadat2021
Reduction of PQ pool by NADH reductase,$v_{\mathrm{NDH}}$,v_NDH,,12,"Saadat2021, Li2021"
Cyclic electron flow,$v_{\mathrm{Cyc}}$,v_Cyc,EC 7.1.1.10,13,Saadat2021
State transitions from PSII to PSI,$v_{\mathrm{St21}}$,v_St21,,14,Saadat2021
State transitions from PSI to PSII,$v_{\mathrm{St12}}$,v_St12,,15,Saadat2021
De-epoxidation of violaxanthin,$v_{\mathrm{Deepox}}$,v_Deepox,R10070,16,"Saadat2021, Li2021"
Epoxidation of violaxanthin,$v_{\mathrm{Epox}}$,v_Epox,R10070,17,Saadat2021
Deprotonation of psbS protein,$v_{\mathrm{Psbs^D}}$,v_PsbSD,,18,Saadat2021
Rate of RuBisCo,$v_{\mathrm{RuBisCo}}$,v_RuBisCO,R00024,19,Saadat2021
Rate of FBPase,$v_{\mathrm{FBPase}}$,v_FBPase,R00762,20,Saadat2021
Rate of SBPase,$v_{\mathrm{SBPase}}$,v_SBPase,R01845,21,Saadat2021
Rate of PRKase,$v_{\mathrm{PRKase}}$,v_PRKase,R01523,22,Saadat2021
Export of PGA,"$v_{\mathrm{PGA,\ ex}}$",v_pga_ex,,23,Saadat2021
Export of DHAP,"$v_{\mathrm{DHAP,\ ex}}$",v_dhap_ex,,24,Saadat2021
Export of GAP,"$v_{\mathrm{GAP,\ ex}}$",v_gap_ex,,25,Saadat2021
Starch production,$v_{\mathrm{Starch}}$,v_starch,,26,Saadat2021
Rate of PGK1ase,$v_{\mathrm{PGK1ase}}$,v_PGK1ase,R01512,27,Saadat2021
Rate of BPGA dehydrogenase,$v_{\mathrm{BPGAdehynase}}$,v_BPGAdehynase,R01063,28,Saadat2021
Rate of TPIase,$v_{\mathrm{TPIase}}$,v_TPIase,R01015,29,Saadat2021
