Time,PAR,F1,Fm'1,NPQ3,PhiII-3
14:31:51,0,0.0475,0.2373,0,0.799831437
14:33:04,903,0.0721,0.073,2.250684932,0.012328767
14:34:05,903,0.0578,0.0588,3.035714286,0.017006803
14:35:06,903,0.0529,0.0549,3.322404372,0.036429872
14:36:07,903,0.0515,0.0525,3.52,0.019047619
14:37:08,903,0.0495,0.051,3.652941176,0.029411765
14:38:09,903,0.0446,0.0505,3.699009901,0.116831683
14:39:10,903,0.05,0.051,3.652941176,0.019607843
14:40:11,903,0.0505,0.052,3.563461538,0.028846154
14:41:12,903,0.0515,0.0525,3.52,0.019047619
14:42:13,903,0.052,0.0534,3.443820225,0.026217228
14:43:14,90,0.0569,0.0868,1.733870968,0.344470046
14:44:15,90,0.0559,0.1069,1.219831618,0.477081384
14:45:16,90,0.0549,0.1088,1.181066176,0.495404412
14:46:17,90,0.0539,0.1093,1.171088747,0.506861848
14:47:18,90,0.0539,0.1098,1.161202186,0.509107468
14:48:19,90,0.0534,0.1093,1.171088747,0.511436414
14:49:20,90,0.0525,0.1093,1.171088747,0.519670631
14:50:21,90,0.052,0.1098,1.161202186,0.526411658
14:51:22,90,0.0515,0.1113,1.132075472,0.537286613
14:52:23,90,0.051,0.1123,1.113089938,0.545859305
14:53:24,0,0.0456,0.1544,0.536917098,0.704663212
14:54:25,0,0.0451,0.1667,0.423515297,0.729454109
14:55:26,0,0.0451,0.1696,0.399174528,0.734080189
14:56:27,0,0.0451,0.1716,0.382867133,0.737179487
14:57:28,0,0.0451,0.1735,0.367723343,0.740057637
